Method,Order,Puzzle_length,Solution_length,Visited_states,Calculated_states,Max_deep,Calculating_time
dfs,ULRD,3,17,152971,152987,20,2297.859
astr,hamm,3,3,4,9,3,0.236
astr,manh,3,3,4,9,3,0.392
bfs,DRLU,3,3,16,34,3,0.522
bfs,DRUL,3,3,16,34,3,0.523
bfs,LUDR,3,3,30,62,3,0.893
bfs,LURD,3,3,35,71,3,1.013
bfs,RDLU,3,3,21,43,3,0.648
bfs,RDUL,3,3,21,43,3,0.645
bfs,ULDR,3,3,30,62,3,0.886
bfs,ULRD,3,3,35,71,3,1.003
dfs,DRLU,3,3,4,9,3,0.19
dfs,DRUL,3,3,4,9,3,0.186
dfs,LUDR,3,17,504,520,20,7.508
dfs,LURD,3,17,168264,168276,20,2469.461
dfs,RDLU,3,19,167973,167990,20,2488.115
dfs,RDUL,3,19,95,114,20,1.653
dfs,ULDR,3,19,168005,168020,20,2484.71
dfs,ULRD,3,19,145,160,20,2.189
astr,hamm,3,3,4,9,3,0.239
astr,manh,3,3,4,9,3,0.412
bfs,DRLU,3,3,19,40,3,0.604
bfs,DRUL,3,3,19,40,3,0.596
bfs,LUDR,3,3,33,68,3,0.971
bfs,LURD,3,3,32,65,3,0.93
bfs,RDLU,3,3,18,37,3,0.562
bfs,RDUL,3,3,18,37,3,0.561
bfs,ULDR,3,3,33,68,3,0.969
bfs,ULRD,3,3,32,65,3,0.93
dfs,DRLU,3,19,89,109,20,1.58
dfs,DRUL,3,19,167967,167985,20,2504.551
dfs,LUDR,3,19,139,155,20,2.187
dfs,LURD,3,19,168011,168025,20,2460.907
dfs,RDLU,3,11,167538,167549,20,2482.54
dfs,RDUL,3,11,12,25,11,0.419
dfs,ULDR,3,19,137755,137770,20,1996.274
dfs,ULRD,3,17,531,546,20,7.533
astr,hamm,3,3,4,8,3,0.22
astr,manh,3,3,4,8,3,0.363
bfs,DRLU,3,3,13,28,3,0.441
bfs,DRUL,3,3,17,38,3,0.574
bfs,LUDR,3,3,18,39,3,0.591
bfs,LURD,3,3,18,39,3,0.59
bfs,RDLU,3,3,13,28,3,0.439
bfs,RDUL,3,3,17,38,3,0.571
bfs,ULDR,3,3,22,49,3,0.718
bfs,ULRD,3,3,22,49,3,0.718
dfs,DRLU,3,19,437,452,20,6.65
dfs,DRUL,3,9,10,19,9,0.33
dfs,LUDR,3,17,152971,152987,20,2279.278
dfs,LURD,3,19,239581,239597,20,3509.022
dfs,RDLU,3,19,46229,46243,20,651.032
dfs,RDUL,3,9,10,19,9,0.341
dfs,ULDR,3,19,662292,662304,20,9814.783
dfs,ULRD,3,17,575952,575960,20,8504.996
astr,hamm,3,3,4,8,3,0.216
astr,manh,3,3,4,8,3,0.361
bfs,DRLU,3,3,16,34,3,0.517
bfs,DRUL,3,3,16,34,3,0.523
bfs,LUDR,3,3,28,58,3,0.836
bfs,LURD,3,3,35,71,3,1.004
bfs,RDLU,3,3,23,47,3,0.689
bfs,RDUL,3,3,23,47,3,0.69
bfs,ULDR,3,3,28,58,3,0.84
bfs,ULRD,3,3,35,71,3,1.005
dfs,DRLU,3,3,4,8,3,0.129
dfs,DRUL,3,3,4,8,3,0.125
dfs,LUDR,3,19,121,137,20,1.893
dfs,LURD,3,19,168023,168036,20,2492.464
dfs,RDLU,3,17,168049,168065,20,2497.343
dfs,RDUL,3,17,377,395,20,5.754
dfs,ULDR,3,19,104495,104510,20,1535.069
dfs,ULRD,3,17,592,606,20,8.673
astr,hamm,3,3,4,6,3,0.131
astr,manh,3,3,4,6,3,0.27
bfs,DRLU,3,3,8,16,3,0.286
bfs,DRUL,3,3,8,16,3,0.283
bfs,LUDR,3,3,17,39,3,0.587
bfs,LURD,3,3,17,39,3,0.58
bfs,RDLU,3,3,8,16,3,0.285
bfs,RDUL,3,3,8,16,3,0.282
bfs,ULDR,3,3,17,39,3,0.592
bfs,ULRD,3,3,17,39,3,0.589
dfs,DRLU,3,3,4,6,3,0.101
dfs,DRUL,3,3,4,6,3,0.095
dfs,LUDR,3,19,84,98,20,1.379
dfs,LURD,3,19,168044,168054,20,2456.295
dfs,RDLU,3,3,4,6,3,0.095
dfs,RDUL,3,3,4,6,3,0.117
dfs,ULDR,3,19,84,98,20,1.37
dfs,ULRD,3,19,168044,168054,20,2478.082
astr,hamm,4,4,5,8,4,0.217
astr,manh,4,4,5,8,4,0.382
bfs,DRLU,4,4,42,87,4,1.21
bfs,DRUL,4,4,42,87,4,1.208
bfs,LUDR,4,4,56,120,4,1.662
bfs,LURD,4,4,39,88,4,1.26
bfs,RDLU,4,4,25,55,4,0.815
bfs,RDUL,4,4,25,55,4,0.793
bfs,ULDR,4,4,56,120,4,1.646
bfs,ULRD,4,4,39,88,4,1.214
dfs,DRLU,4,20,262,280,20,4.176
dfs,DRUL,4,20,78922,78939,20,1151.149
dfs,LUDR,4,18,357893,357903,20,5249.686
dfs,LURD,4,18,162,176,20,2.414
dfs,RDLU,4,4,5,8,4,0.126
dfs,RDUL,4,4,5,8,4,0.131
dfs,ULDR,4,18,357893,357903,20,5250.886
dfs,ULRD,4,18,162,176,20,2.407
astr,hamm,4,4,5,10,4,0.253
astr,manh,4,4,5,10,4,0.436
bfs,DRLU,4,4,32,68,4,0.964
bfs,DRUL,4,4,32,68,4,0.963
bfs,LUDR,4,4,51,108,4,1.519
bfs,LURD,4,4,49,107,4,1.481
bfs,RDLU,4,4,30,67,4,0.958
bfs,RDUL,4,4,30,67,4,0.953
bfs,ULDR,4,4,51,108,4,1.494
bfs,ULRD,4,4,49,107,4,1.492
dfs,DRLU,4,18,184,203,20,3.154
dfs,DRUL,4,18,78893,78910,20,1151.107
dfs,LUDR,4,18,357845,357856,20,5237.018
dfs,LURD,4,18,239,253,20,3.684
dfs,RDLU,4,20,24662,24679,20,347.879
dfs,RDUL,4,16,9456,9470,20,131.512
dfs,ULDR,4,18,357845,357856,20,5262.817
dfs,ULRD,4,18,239,253,20,3.707
astr,hamm,4,4,5,11,4,0.267
astr,manh,4,4,5,11,4,0.47
bfs,DRLU,4,4,56,110,4,1.519
bfs,DRUL,4,4,56,110,4,1.531
bfs,LUDR,4,4,73,151,4,2.131
bfs,LURD,4,4,53,113,4,1.572
bfs,RDLU,4,4,36,72,4,1.053
bfs,RDUL,4,4,36,72,4,1.033
bfs,ULDR,4,4,73,151,4,2.061
bfs,ULRD,4,4,53,113,4,1.572
dfs,DRLU,4,18,325863,325882,20,4892.195
dfs,DRUL,4,20,345707,345727,20,5168.14
dfs,LUDR,4,16,1255,1267,20,17.147
dfs,LURD,4,18,222590,222603,20,3294.708
dfs,RDLU,4,4,5,11,4,0.212
dfs,RDUL,4,4,5,11,4,0.217
dfs,ULDR,4,16,358860,358869,20,5255.256
dfs,ULRD,4,16,536,550,20,7.625
astr,hamm,4,4,5,11,4,0.268
astr,manh,4,4,5,11,4,0.465
bfs,DRLU,4,4,61,127,4,1.741
bfs,DRUL,4,4,48,102,4,1.406
bfs,LUDR,4,4,61,121,4,1.722
bfs,LURD,4,4,61,121,4,1.696
bfs,RDLU,4,4,61,127,4,1.745
bfs,RDUL,4,4,48,102,4,1.419
bfs,ULDR,4,4,48,96,4,1.326
bfs,ULRD,4,4,48,96,4,1.328
dfs,DRLU,4,16,787,803,20,11.25
dfs,DRUL,4,20,357132,357149,20,5290.125
dfs,LUDR,4,18,325911,325927,20,4807.805
dfs,LURD,4,20,373316,373333,20,5468.829
dfs,RDLU,4,16,358392,358405,20,5316.697
dfs,RDUL,4,16,295,312,20,4.472
dfs,ULDR,4,20,78880,78895,20,1140.179
dfs,ULRD,4,20,65,83,20,1.181
astr,hamm,4,4,5,11,4,0.268
astr,manh,4,4,5,11,4,0.463
